iso3,year,median,v_name
AFG,1990,76.6405,1
AFG,1990,153.4587,2
AFG,1990,63.0475,3
AFG,1990,48.9789,4
AFG,1990,83.3171,5
AFG,1990,7.7634,6
AFG,1990,347.7826,7
AFG,1990,166.2762,8
AFG,1990,3.0088,9
AFG,1990,38.305,10
AFG,1990,3.0856,11
AFG,1990,6.1212,12
AFG,1990,0.7909,13
AFG,1990,11.012,14
AFG,1990,7.1066,15
AFG,1990,3.6868,16
AFG,1990,0.5358,17
AFG,1990,1.1352,18
AFG,1990,67.5209,22
AFG,1990,48.0379,23
AFG,1990,7.8425,27
AFG,1990,5.0639,28
AFG,1990,2.6039,29
AFG,1990,2.135,30
AFG,1990,803.0767,31
AFG,1990,131.2154,33
AFG,1990,54.7553,34
AFG,1990,0.002,35
AFG,1990,404.098,36
AFG,1990,3020.0894,37
AFG,1990,75.2149,38
AFG,1990,24.4573,39
AFG,1990,186.2452,40
AFG,1990,1747.7301,41
AFG,1990,73.6108,42
AFG,1990,116.5405,43
AFG,1990,0.9746,45
AFG,1990,0.9216,46
AFG,1990,10.7412,47
AFG,1990,0.9281,48
AFG,1990,167.8003,49
AFG,1990,1.8671,50
AFG,1990,31.764,51
AFG,1990,1.5752,52
AFG,1990,7.7057,53
AFG,1990,6.8444,54
AFG,1990,70.2802,57
AFG,1995,60.2145,1
AFG,1995,110.3304,2
AFG,1995,33.0698,3
AFG,1995,59.3527,4
AFG,1995,71.7757,5
AFG,1995,3.9465,6
AFG,1995,364.5729,7
AFG,1995,144.8266,8
AFG,1995,2.6554,9
AFG,1995,24.3913,10
AFG,1995,3.1187,11
AFG,1995,3.6985,12
AFG,1995,0.636,13
AFG,1995,10.7451,14
AFG,1995,4.1565,15
AFG,1995,4.2109,16
AFG,1995,0.5414,17
AFG,1995,1.0991,18
AFG,1995,67.5098,22
AFG,1995,52.7261,23
AFG,1995,7.7585,27
AFG,1995,5.0526,28
AFG,1995,2.6035,29
AFG,1995,2.2205,30
AFG,1995,775.3936,31
AFG,1995,108.4978,33
AFG,1995,47.1467,34
AFG,1995,0.0001,35
AFG,1995,410.0696,36
AFG,1995,3018.4492,37
AFG,1995,68.5946,38
AFG,1995,23.5504,39
AFG,1995,192.3642,40
AFG,1995,1780.7902,41
AFG,1995,75.9815,42
AFG,1995,122.9163,43
AFG,1995,0.9776,45
AFG,1995,0.9201,46
AFG,1995,10.751,47
AFG,1995,0.9557,48
AFG,1995,168.797,49
AFG,1995,1.8611,50
AFG,1995,33.6368,51
AFG,1995,1.6005,52
AFG,1995,7.3103,53
AFG,1995,6.7994,54
AFG,1995,74.419,57
AFG,2000,53.6542,1
AFG,2000,120.7599,2
AFG,2000,27.9409,3
AFG,2000,63.1372,4
AFG,2000,42.3814,5
AFG,2000,2.4895,6
AFG,2000,365.4305,7
AFG,2000,71.4158,8
AFG,2000,2.8412,9
AFG,2000,23.7532,10
AFG,2000,3.1577,11
AFG,2000,3.3154,12
AFG,2000,0.7054,13
AFG,2000,11.7182,14
AFG,2000,5.2205,15
AFG,2000,4.8214,16
AFG,2000,0.535,17
AFG,2000,1.0298,18
AFG,2000,67.4149,22
AFG,2000,52.0571,23
AFG,2000,7.6702,27
AFG,2000,5.1002,28
AFG,2000,2.6099,29
AFG,2000,2.2934,30
AFG,2000,767.5934,31
AFG,2000,107.6983,33
AFG,2000,45.3096,34
AFG,2000,0.0002,35
AFG,2000,411.2583,36
AFG,2000,2997.4093,37
AFG,2000,66.5429,38
AFG,2000,21.4434,39
AFG,2000,202.9163,40
AFG,2000,1841.7007,41
AFG,2000,75.613,42
AFG,2000,149.1276,43
AFG,2000,0.9827,45
AFG,2000,0.9298,46
AFG,2000,11.3901,47
AFG,2000,0.982,48
AFG,2000,174.9378,49
AFG,2000,1.8567,50
AFG,2000,36.3424,51
AFG,2000,1.6172,52
AFG,2000,6.95,53
AFG,2000,6.97,54
AFG,2000,81.6599,57
AFG,2005,49.1649,1
AFG,2005,154.6526,2
AFG,2005,34.1793,3
AFG,2005,51.613,4
AFG,2005,60.3224,5
AFG,2005,2.4016,6
AFG,2005,366.4351,7
AFG,2005,48.8447,8
AFG,2005,2.8877,9
AFG,2005,16.8764,10
AFG,2005,3.2086,11
AFG,2005,4.3982,12
AFG,2005,0.6039,13
AFG,2005,11.728,14
AFG,2005,45.5955,15
AFG,2005,5.3494,16
AFG,2005,0.5402,17
AFG,2005,0.6362,18
AFG,2005,67.2327,22
AFG,2005,46.5466,23
AFG,2005,7.7451,27
AFG,2005,5.1256,28
AFG,2005,2.6186,29
AFG,2005,2.4612,30
AFG,2005,792.6748,31
AFG,2005,96.1133,33
AFG,2005,45.423,34
AFG,2005,1.57,35
AFG,2005,420.5069,36
AFG,2005,3006.9972,37
AFG,2005,70.3146,38
AFG,2005,20.9496,39
AFG,2005,216.2426,40
AFG,2005,1903.9224,41
AFG,2005,76.701,42
AFG,2005,154.5252,43
AFG,2005,1.0029,45
AFG,2005,0.9478,46
AFG,2005,12.2802,47
AFG,2005,1.0301,48
AFG,2005,181.1916,49
AFG,2005,1.8709,50
AFG,2005,38.872,51
AFG,2005,1.557,52
AFG,2005,6.8655,53
AFG,2005,7.1899,54
AFG,2005,74.3463,57
AFG,2010,61.0533,1
AFG,2010,148.3486,2
AFG,2010,14.3447,3
AFG,2010,50.9815,4
AFG,2010,104.546,5
AFG,2010,14.5104,6
AFG,2010,326.1793,7
AFG,2010,52.1233,8
AFG,2010,3.1073,9
AFG,2010,15.1527,10
AFG,2010,3.2829,11
AFG,2010,5.7198,12
AFG,2010,0.6163,13
AFG,2010,12.5438,14
AFG,2010,104.5736,15
AFG,2010,5.7029,16
AFG,2010,0.5452,17
AFG,2010,1.1425,18
AFG,2010,67.1079,22
AFG,2010,54.1836,23
AFG,2010,7.8345,27
AFG,2010,5.1758,28
AFG,2010,2.6215,29
AFG,2010,2.5139,30
AFG,2010,885.3659,31
AFG,2010,94.4893,33
AFG,2010,43.7441,34
AFG,2010,10.9484,35
AFG,2010,439.1486,36
AFG,2010,3016.2027,37
AFG,2010,73.3825,38
AFG,2010,19.7539,39
AFG,2010,231.4024,40
AFG,2010,1983.8995,41
AFG,2010,77.4328,42
AFG,2010,204.3679,43
AFG,2010,1.022,45
AFG,2010,0.962,46
AFG,2010,13.2762,47
AFG,2010,1.084,48
AFG,2010,188.1327,49
AFG,2010,1.8933,50
AFG,2010,40.5067,51
AFG,2010,1.5374,52
AFG,2010,6.5464,53
AFG,2010,7.513,54
AFG,2010,73.1122,57
AFG,2015,83.0548,1
AFG,2015,108.8049,2
AFG,2015,16.255,3
AFG,2015,41.9634,4
AFG,2015,106.0859,5
AFG,2015,3.0515,6
AFG,2015,225.6406,7
AFG,2015,44.591,8
AFG,2015,3.3712,9
AFG,2015,11.1252,10
AFG,2015,3.2366,11
AFG,2015,9.3667,12
AFG,2015,0.5801,13
AFG,2015,10.3537,14
AFG,2015,73.7336,15
AFG,2015,3.7634,16
AFG,2015,0.556,17
AFG,2015,1.8118,18
AFG,2015,67.5038,22
AFG,2015,59.2992,23
AFG,2015,7.5283,27
AFG,2015,5.0592,28
